,carat,cut,color,clarity,depth,table,x,price
4512,1.39,Premium,I,SI1,62.1,57,7.22,6694
4513,0.32,Ideal,F,VS1,61.5,56,4.4,639
4514,0.3,Premium,I,VS1,61.6,61,4.28,567
4515,0.7,Very Good,G,SI2,63.2,57,5.7,2117
4516,0.3,Ideal,G,IF,63,53,4.3,956
4517,1,Premium,H,SI1,62.8,58,6.38,4816
4518,0.3,Good,D,SI2,63.2,57,4.21,447
4519,1.1,Very Good,G,VVS1,,60,6.59,9257
4520,0.28,Good,H,VVS1,56,64,4.38,480
4521,0.6,Ideal,D,SI1,62.2,56,5.44,1996
4522,0.41,Very Good,E,SI1,63.2,58,4.72,904
4523,0.9,Very Good,H,SI2,62,58,6.11,3324
4524,0.31,Ideal,D,SI1,62.6,56,4.33,571
4525,1.03,Good,J,SI1,63.6,57,6.38,2855
4526,0.33,Ideal,F,VS2,62.3,56,4.46,854
4527,0.35,Very Good,D,SI1,60.1,61,4.56,644
4528,0.28,Very Good,E,VVS1,61.1,60,4.17,646
4529,1.5,Premium,F,SI1,61.9,60,7.26,10940
4530,0.3,Very Good,G,VVS2,62.9,55,4.3,684
4531,0.44,Ideal,H,IF,61.5,56,4.89,1185
4532,0.5,Ideal,I,VS2,62,55,5.1,1110
4533,0.88,Very Good,I,VS1,63.3,55,6.11,2996
4534,0.7,Premium,G,SI1,59.9,58,5.8,2016
4535,0.32,Premium,H,VS2,62.7,58,4.35,605
4536,1.77,Good,J,SI2,63.4,60,7.61,8109
4537,1.22,Premium,F,VS2,62,58,6.86,8576
4538,1.03,Ideal,I,SI2,62.2,57,6.5,3997
4539,0.4,Good,E,SI1,64.2,57,4.66,662
4540,0.42,Very Good,E,VS1,62.1,55,4.81,1105
4541,0.8,Ideal,F,SI1,60.5,57,6.02,3420
4542,1.13,Ideal,D,VS1,61.2,57,6.7,11477
4543,0.4,Ideal,D,VS2,61.6,55,4.75,1226
4544,1.05,Premium,G,SI2,61.6,60,6.56,4318
4545,0.71,Ideal,D,VS2,62.5,55,5.71,3217
4546,1.01,Very Good,I,VS1,59.7,58,6.53,4858
4547,0.36,Premium,I,VS2,62.7,59,4.58,648
4548,0.78,Ideal,E,SI2,60.8,56,5.98,2340
4549,0.9,Ideal,D,SI1,62.5,57,6.12,4579
4550,1.11,Very Good,F,VVS1,59.7,55,6.77,10141
4551,0.7,Good,G,SI1,63.7,60,5.57,2150
4552,1.32,Premium,G,SI1,62.1,59,7.03,6542
4553,0.3,Premium,H,VS1,61.4,59,4.33,675
4554,2.03,Premium,J,SI2,62.7,59,8.02,12268
4555,1.51,Fair,I,SI1,68.3,57,6.95,8355
4556,0.34,Very Good,G,VVS1,61.7,56,4.49,819
4557,0.3,Very Good,G,VS1,60.8,61,4.31,565
4558,0.32,Fair,F,SI1,64.4,54,4.36,638
4559,1.05,Premium,G,SI2,60.7,61,6.56,3599
4560,0.26,Very Good,E,IF,58.7,63,4.19,547
4561,0.33,Ideal,F,VVS2,62.4,56,4.43,1067
4562,2.08,Ideal,I,SI2,62.3,56,8.16,15132
4563,1.52,Premium,D,SI2,59.2,62,7.51,10291
4564,0.4,Ideal,G,VVS2,62.4,56,4.68,1050
4565,2,Very Good,E,SI2,62.9,56,7.94,16064
4566,0.31,Ideal,D,VS2,61.6,57,4.36,734
4567,0.31,Ideal,E,VS1,61.6,55,4.37,871
4568,1.34,Premium,G,VS2,60.7,59,7.07,9293
4569,0.33,Ideal,E,VS2,62.1,57,4.41,723
4570,0.29,Very Good,D,VVS2,62.3,59,4.21,664
4571,0.57,Ideal,E,VVS2,61.5,56,5.31,2447
4572,0.33,Very Good,G,VS1,61,57,4.46,652
4573,1.01,Fair,G,VS2,68.9,60,6.06,5294
4574,0.78,Ideal,I,VS2,61.8,55,5.92,2834
4575,0.32,Premium,D,SI1,58.9,60,4.49,756
4576,0.32,Ideal,H,IF,61.6,54,4.41,814
4577,0.38,Ideal,I,VS2,61.4,55,4.66,675
4578,1.33,Premium,I,SI2,59.7,59,7.21,5094
4579,0.71,Very Good,E,VS2,63.4,61,5.6,2450
4580,1.38,Ideal,I,SI2,61.8,57,7.14,5796
4581,0.56,Ideal,H,IF,61.3,56,5.32,2135
4582,1.01,Fair,F,VS2,65.1,59,6.17,5784
4583,0.34,Premium,G,VS2,,58,4.46,596
4584,1.08,Ideal,D,SI2,61.6,57,6.58,5256
4585,0.91,Ideal,H,SI1,62.1,57,6.18,4919
4586,1.11,Premium,G,VS2,62.3,58,6.65,6713
4587,0.23,Premium,I,VVS1,60.5,61,3.98,414
4588,0.4,Ideal,I,IF,62.4,56,4.73,1050
4589,0.41,Very Good,F,VS1,60.7,56,4.77,1007
4590,2.05,Ideal,J,VS1,61.4,59,8.16,16793
4591,0.4,Very Good,I,VS2,61.4,57.6,4.73,655
4592,1.02,Fair,I,SI2,66.2,57,6.34,3290
4593,0.52,Ideal,G,VVS2,60.8,57,5.16,1911
4594,0.54,Very Good,H,SI2,60.7,55,5.31,1194
4595,0.31,Ideal,I,SI1,62.2,56,4.34,418
4596,1.05,Premium,D,SI1,58.6,60,6.73,5821
4597,1.13,Premium,H,VS2,60.6,58,6.81,5885
4598,0.34,Ideal,F,VVS2,59.1,57,4.66,1071
4599,1.01,Ideal,G,IF,61.5,58,6.44,8869
4600,0.32,Very Good,I,VS2,61.1,57,4.39,449
4601,0.26,Ideal,D,VVS2,61.4,56,4.15,769
4602,0.3,Ideal,H,VVS1,61.6,57,4.3,665
4603,1,Premium,G,SI2,62.2,57,6.29,3998
4604,1.08,Ideal,G,SI2,,58,6.55,4675
4605,0.34,Ideal,G,VVS1,61.7,56,4.5,863
4606,0.9,Good,E,SI1,57.9,60,6.3,4190
4607,0.51,Very Good,H,SI1,61,55,5.18,1698
4608,0.75,Very Good,E,SI1,62.3,58,5.78,2923
4609,0.3,Ideal,I,VS1,62.5,57,4.32,608
4610,0.95,Fair,J,SI1,58,66,6.5,3154
4611,0.9,Very Good,I,VS2,58.4,62,6.29,3334
4612,1.76,Ideal,I,VVS2,60.2,58,7.84,14065
4613,0.3,Ideal,F,VS2,61.6,56,4.3,573
4614,0.51,Very Good,E,SI1,62.2,55,5.09,1318
4615,0.31,Ideal,H,VS2,61.5,57,4.38,628
4616,2.14,Fair,H,I1,66.4,56,8,6328
4617,0.53,Ideal,F,VS1,61.8,56,5.22,1908
4618,0.41,Premium,D,VVS2,61.2,62,4.82,1356
4619,1.21,Very Good,F,VVS2,61,58,6.89,11455
4620,0.3,Very Good,G,VVS2,62.9,58,4.26,638
4621,1,Premium,E,VVS2,62.7,60,6.32,8888
4622,0.7,Very Good,I,VVS1,61.6,58,5.69,2390
4623,1,Premium,G,VVS2,60.5,62,6.44,7392
4624,2.16,Ideal,I,VS1,62.7,56,8.28,18342
4625,1.29,Very Good,I,VS2,61.8,58,6.94,6537
4626,0.3,Premium,E,VVS2,61.4,60,4.28,1013
4627,0.7,Premium,E,SI1,59.1,62,5.8,2592
4628,0.3,Very Good,G,SI1,59.8,57,4.32,447
4629,0.3,Very Good,F,SI2,62.3,58,4.28,394
4630,0.33,Ideal,D,VS2,62.5,55,4.45,1002
4631,0.38,Ideal,E,SI2,62.1,54.1,4.64,628
4632,1.2,Very Good,E,SI1,,57,6.7,7310
4633,0.9,Premium,D,SI2,58.8,59,6.28,3579
4634,0.32,Premium,G,VVS2,62,55,4.42,936
4635,1.07,Ideal,G,VS1,62.2,56,6.53,7748
4636,0.35,Ideal,D,SI1,62.3,55,4.54,827
4637,0.35,Premium,H,VVS2,62.7,58,4.5,906
4638,0.41,Ideal,D,VS2,61.9,56,4.77,1007
4639,0.41,Ideal,F,VVS2,61.9,55,4.78,1115
4640,0.33,Ideal,D,SI2,62,57,4.45,492
4641,0.38,Premium,D,VS2,61.5,62,4.63,1117
4642,0.32,Ideal,E,VS2,61.1,56,4.46,846
4643,0.3,Premium,D,VS1,61.2,59,4.34,732
4644,0.5,Ideal,H,SI2,62.3,53,5.1,964
4645,0.8,Premium,G,IF,62.6,58,5.89,4268
4646,1.01,Ideal,F,SI1,60,56,6.55,5274
4647,0.93,Premium,I,VS2,62.7,61,6.24,4073
4648,0.8,Good,D,SI1,63.7,57,5.88,2738
4649,0.7,Ideal,I,SI1,61.3,57,5.72,1790
4650,2.25,Premium,D,SI2,60.4,59,8.54,18007
4651,0.75,Ideal,I,SI1,61.8,55,5.83,2871
4652,0.33,Ideal,H,VVS2,61.9,57,4.41,666
4653,0.37,Premium,J,VS2,61.1,60,4.63,583
4654,0.56,Ideal,E,SI1,60.9,56,5.35,1698
4655,1.52,Good,G,SI2,63.1,58,7.21,7933
4656,1.52,Good,J,SI1,63.6,60,7.25,7022
4657,1.01,Very Good,H,SI1,61.8,59,6.37,4876
4658,0.61,Ideal,D,VS1,61.9,56,5.43,2658
4659,0.4,Very Good,G,VS1,61.5,58,4.72,868
4660,1.21,Ideal,G,SI2,62,56,6.83,6017
4661,0.74,Very Good,G,VS1,59.8,58,5.85,2896
4662,0.31,Premium,H,VS1,62.4,58,4.32,544
4663,0.4,Good,F,VS1,63.1,59,4.64,877
4664,1.01,Premium,G,VS2,59,61,6.62,5946
4665,0.31,Ideal,D,VS2,62.9,55,4.34,942
4666,0.72,Very Good,J,SI1,58.3,62,5.87,1886
4667,1.67,Ideal,I,VS1,61.2,57,7.69,10802
4668,0.36,Ideal,G,SI2,60.7,58,4.62,505
4669,1.51,Ideal,E,SI2,61.9,56,7.31,10588
4670,0.57,Very Good,G,VS1,59.9,57,5.38,1934
4671,0.55,Very Good,F,SI1,63.3,58,5.21,1449
4672,0.38,Premium,E,VS2,60.5,58,4.7,1112
4673,0.51,Very Good,F,VS1,60,59,5.18,1680
4674,0.58,Ideal,D,SI1,62,54,5.36,1597
4675,0.3,Very Good,G,VVS1,63.1,58,4.31,1013
4676,2,Premium,E,SI2,61.8,56,8.12,18426
4677,1.57,Ideal,I,SI2,62.6,58,7.38,8228
4678,0.81,Ideal,G,SI1,,55,5.97,2725
4679,0.34,Ideal,H,VVS2,62.2,55,4.49,880
4680,0.63,Ideal,E,VS2,62.1,56,5.54,2156
4681,1.91,Fair,H,SI2,64.6,56,7.76,6632
4682,1.08,Premium,H,VS1,58.6,60,6.84,5818
4683,1.01,Ideal,G,VS2,62.4,57,6.39,6340
4684,1,Fair,H,VS1,57.4,68,6.52,4368
4685,1.51,Very Good,D,VS2,63.1,62,7.24,14205
4686,0.5,Very Good,E,SI1,,56,5.06,1222
4687,0.3,Ideal,G,VS1,60.4,55,4.38,637
4688,0.71,Very Good,H,VVS2,62.5,56,5.65,2594
4689,0.7,Premium,E,VS1,62.2,58,5.6,2800
4690,0.71,Fair,G,SI2,64.8,58,5.6,2055
4691,1.23,Very Good,F,SI2,60.9,58,6.93,4661
4692,1.03,Premium,E,SI1,59.5,60,6.64,6091
4693,0.57,Ideal,F,VS2,61.7,57,5.36,1847
4694,0.54,Ideal,F,VVS2,62.1,54,5.24,2180
4695,0.9,Ideal,G,SI1,,56,6.2,3931
4696,1,Good,F,SI1,63.4,61,6.29,4851
4697,2.54,Very Good,I,SI2,62.4,60,8.58,17996
4698,1.01,Good,F,SI2,64.3,59,6.33,4197
4699,0.32,Ideal,D,VS2,61.6,56,4.37,758
4700,0.3,Ideal,E,VVS2,62.3,54.1,4.28,779
4701,0.7,Premium,D,SI2,58.6,60,5.89,1848
4702,0.43,Premium,E,VS1,,58,4.82,1209
4703,1.5,Ideal,J,SI1,61.1,56.7,7.35,7520
4704,0.47,Ideal,F,VVS1,61.6,56,5,2113
4705,0.41,Ideal,E,SI1,62.8,57,4.75,904
4706,0.35,Ideal,F,IF,60.9,55,4.58,1312
4707,1.35,Premium,J,SI1,60.9,59,7.07,5546
4708,0.52,Very Good,E,VS1,63.4,54,5.08,1601
4709,0.9,Very Good,H,SI1,61,59,6.11,3447
4710,0.41,Ideal,E,SI2,60.7,57,4.85,876
4711,0.32,Ideal,H,IF,61.6,55,4.41,814
4712,1.15,Very Good,H,SI2,62,58,6.66,4743
4713,0.76,Good,G,SI1,57.7,63,6.05,2447
4714,0.3,Ideal,I,SI2,62,54,4.31,348
4715,2.04,Ideal,J,SI1,61.7,57,8.11,14130
4716,0.4,Premium,G,SI1,61.4,60,4.71,900
4717,1.27,Ideal,F,SI2,62,55,6.9,5308
4718,1.11,Ideal,H,SI1,62.6,57,6.64,5688
4719,0.38,Very Good,H,VVS1,,58,4.71,967
4720,0.42,Ideal,D,SI1,61.7,56,4.83,1040
4721,0.71,Premium,D,SI1,59.2,62,5.83,2547
4722,1.01,Premium,G,VS1,60.2,59,6.58,6618
4723,2.01,Premium,E,SI2,62.2,60,8.02,13387
4724,0.57,Ideal,E,SI1,61.9,56,5.35,1728
4725,0.72,Premium,J,SI1,62,58,5.77,1879
4726,0.42,Ideal,G,SI1,62,54,4.85,799
4727,1.21,Ideal,E,SI1,62,56,6.83,6887
4728,0.33,Ideal,G,SI2,61.2,56,4.48,463
4729,1.28,Ideal,J,SI1,61.2,57,7.02,4967
4730,1.04,Ideal,F,VS2,62.1,57,6.53,6814
4731,0.39,Good,F,VS1,62.8,61,4.63,847
4732,1.13,Ideal,G,VS2,62.1,53,6.69,7140
4733,1.03,Ideal,G,VS1,62.4,56,6.44,7391
4734,0.7,Fair,E,SI2,65.3,56,5.57,1998
4735,0.57,Ideal,E,VS1,60.8,54.8,5.36,2061
4736,0.3,Ideal,G,IF,61.5,56,4.32,863
4737,0.52,Premium,G,SI2,61.5,59,5.19,1196
4738,0.51,Good,D,SI2,64.2,56,5.05,1232
4739,0.31,Ideal,D,SI2,62.6,57,4.35,593
4740,0.31,Premium,G,VVS2,60.5,58,4.43,907
4741,0.23,Ideal,F,VVS2,61.9,57,3.93,530
4742,0.3,Premium,D,VS2,62.3,58,4.29,710
4743,0.9,Very Good,H,SI1,62.6,58,6.08,3447
4744,2.28,Ideal,G,SI2,61.6,57,8.44,13907
4745,0.63,Premium,E,SI1,58.8,59,5.68,1846
4746,0.33,Very Good,E,VVS1,61.6,53,4.46,848
4747,0.55,Good,H,SI1,63.6,55,5.18,1175
4748,1.01,Very Good,G,SI1,63.7,60,6.31,5192
4749,1.1,Very Good,I,SI1,60.4,61,6.69,4235
4750,0.43,Premium,F,VS2,59.8,58,4.89,905
4751,0.34,Premium,D,VS2,59.3,58,4.55,1033
4752,0.34,Good,I,VVS2,63.1,56,4.43,596
4753,0.7,Ideal,J,VS2,61.8,53,5.73,1874
4754,0.39,Ideal,E,SI2,61,55,4.74,614
4755,1.21,Fair,H,VS2,64.5,56,6.7,5041
4756,0.9,Fair,G,SI2,64.7,58,5.94,3104
4757,0.35,Premium,J,VS1,62.4,58,5.67,949
4758,1,Very Good,F,VS2,61.1,60,6.4,7343
4759,1.03,Premium,F,SI2,62.4,59,6.45,4586
4760,1.2,Premium,I,SI1,61.1,58,6.88,5510
4761,0.9,Very Good,H,VS2,62,57,6.1,4155
4762,0.32,Ideal,J,SI1,61.8,54.9,4.39,384
4763,1.77,Very Good,J,SI2,63.4,60,7.65,8257
4764,0.41,Premium,G,SI1,62.7,58,4.74,923
4765,2.03,Very Good,G,SI1,60.1,60,8.09,18630
4766,0.9,Good,G,VVS2,63.6,58,6.1,5001
4767,1.07,Very Good,H,SI2,61.8,63,6.57,3296
4768,0.71,Very Good,G,SI2,62.4,54,5.72,2171
4769,0.54,Ideal,G,VVS2,61.9,57,5.22,1981
4770,0.81,Fair,F,SI2,68.8,79,5.26,2301
4771,0.3,Premium,D,SI1,,58,4.29,552
4772,0.65,Very Good,I,VVS2,61.3,59.3,5.52,1828
4773,0.91,Ideal,I,VS2,61.6,55,6.21,4317
4774,1.01,Premium,D,VS2,62.2,61,6.43,7032
4775,0.78,Ideal,G,SI1,60.6,57,5.95,3004
4776,0.33,Ideal,G,IF,61.3,57,4.42,984
4777,0.31,Ideal,G,VS2,61.4,57,4.35,544
4778,0.51,Good,E,SI1,64.3,54,5.1,1624
4779,0.41,Very Good,G,SI1,63.4,57,4.73,861
4780,1.51,Very Good,D,VS2,63.2,57,7.27,12311
4781,0.5,Very Good,I,VS2,61.7,58,5.08,1176
4782,0.7,Good,F,VVS2,63.1,58,5.6,2721
4783,0.33,Ideal,F,VVS2,61.9,56,4.46,1040
4784,1.7,Premium,G,SI2,62.5,58,7.53,10574
4785,0.57,Premium,D,SI1,60.2,60,5.36,1847
4786,1.01,Ideal,E,VVS2,61.4,56,6.49,10283
4787,2.23,Very Good,J,VS2,61,58,8.36,14732
4788,0.3,Ideal,E,VVS2,61.4,57,4.34,1013
4789,0.94,Very Good,F,SI2,62.4,58,6.17,3518
4790,0.9,Very Good,F,SI1,63.1,56,6.17,4103
4791,0.31,Premium,D,IF,60.2,59,4.39,1167
4792,0.34,Premium,G,VS2,60.2,58,4.56,765
4793,0.71,Very Good,E,VS1,62.1,57,5.67,3009
4794,0.5,Premium,E,SI2,59.4,60,5.21,1181
4795,0.31,Premium,E,VVS2,61.4,58,4.33,816
4796,1.5,Very Good,I,SI1,60.7,58,7.34,8475
4797,0.33,Ideal,H,VS1,62.2,53.3,4.45,592
4798,0.58,Ideal,F,VS1,60.6,55,5.41,2117
4799,1.01,Good,E,VS2,63.8,59,6.26,5430
4800,0.9,Fair,E,I1,59.9,66,6.18,2138
4801,0.34,Premium,I,VS1,61,60,4.48,537
4802,1.62,Ideal,F,VS2,61.2,57,7.52,18281
4803,0.5,Premium,F,VVS1,61.1,55,5.15,2081
4804,1.01,Ideal,G,VS2,61.9,56,6.4,7179
4805,0.33,Ideal,F,VVS2,62.4,55,4.43,750
4806,0.32,Ideal,D,VS2,61.5,56,4.39,758
4807,0.95,Very Good,E,SI1,61.6,56,6.31,4738
4808,1.56,Very Good,I,VS2,59.7,60,7.53,9231
4809,0.3,Premium,J,VS2,61.6,61,4.33,473
4810,1.19,Very Good,F,SI1,60.8,59,6.85,6526
4811,0.42,Premium,G,SI1,62.7,59,4.75,920
4812,0.32,Ideal,E,VVS2,60.4,59,4.45,779
4813,0.33,Premium,H,VS2,61.4,58,4.49,668
4814,1.08,Ideal,G,VVS1,61.6,56,6.6,8347
4815,0.56,Ideal,G,VS1,62,56,5.28,1822
4816,0.9,Good,G,SI1,63.7,58,6.09,3734
4817,0.7,Very Good,E,VS1,62.5,56,5.64,3063
4818,0.3,Premium,H,VS2,62.9,59,4.3,608
4819,1.22,Ideal,I,SI1,60.2,58,6.96,5807
4820,1,Good,E,SI2,63.7,61,6.27,3819
4821,1.11,Ideal,E,SI1,62.1,55,6.66,7218
4822,0.3,Very Good,H,SI1,59.4,63,4.35,421
4823,1.12,Premium,I,SI1,61.3,58,6.69,4077
4824,0.91,Premium,H,SI1,60.2,52,6.27,2935
4825,1.6,Ideal,E,SI2,62.7,53.9,7.43,10798
4826,0.7,Ideal,G,SI2,62.6,56,5.69,2268
4827,0.37,Premium,D,SI1,62.2,58,4.62,874
4828,0.42,Ideal,H,VS1,62.4,57,4.76,847
4829,1.53,Ideal,I,SI1,61.9,54,7.43,8971
4830,0.64,Good,F,VS2,59.3,60.7,5.59,2063
4831,1.14,Very Good,I,VS2,62.5,59,6.63,4785
4832,0.5,Ideal,G,VVS1,62.2,55,5.09,1865
4833,1.31,Premium,J,VS2,60.7,58,7.1,6137
4834,0.36,Very Good,F,SI1,60.3,58,4.6,600
4835,1.57,Very Good,I,VS2,60.3,58,7.58,10447
4836,0.71,Ideal,D,VS2,59.9,57,5.8,3540
4837,1.22,Premium,F,SI2,62.5,57,6.78,5794
4838,1.01,Good,G,SI1,64.2,56,6.38,4138
4839,0.51,Good,G,VVS1,63.2,58,5.08,1872
4840,0.53,Ideal,D,VS2,60.9,57,5.24,1877
4841,0.41,Good,G,SI2,63.6,54,4.7,611
4842,0.25,Ideal,H,VS1,61.9,54,4.07,426
4843,0.42,Very Good,G,SI1,61.7,55,4.78,916
4844,0.5,Good,E,SI1,65.5,56,4.9,1136
4845,0.35,Ideal,G,IF,61.5,55,4.53,1001
4846,1.21,Ideal,H,VS2,62.4,59,6.81,7236
4847,2,Premium,F,SI1,62.6,59,8.1,18493
4848,0.44,Ideal,G,IF,61.6,55,4.9,2506
4849,2,Fair,H,SI2,55.3,65,8.42,11202
4850,0.56,Very Good,G,VS1,59.9,60,5.37,1912
4851,0.35,Very Good,G,VS1,61.2,56,4.53,706
4852,0.31,Ideal,I,VVS1,62.1,56,4.35,571
4853,0.77,Good,E,VS2,63.4,57,5.8,3291
4854,0.51,Ideal,E,SI1,61.3,55,5.17,1546
4855,0.29,Very Good,E,VS1,60.4,58,4.28,499
4856,0.31,Ideal,F,VVS1,61.9,55,4.42,1028
4857,0.31,Ideal,D,VS2,62,55,4.35,942
4858,1.05,Premium,J,VS1,60,60,6.46,4116
4859,0.5,Very Good,F,SI1,62.3,60,5.07,1250
4860,0.51,Very Good,G,VS2,62.9,57,5.06,1438
4861,0.31,Premium,G,SI1,61.9,56,4.38,593
4862,1,Good,I,VS2,62.6,59,6.28,4081
4863,1.2,Very Good,F,VS2,61.8,58,6.75,9007
4864,0.5,Premium,G,SI1,62.9,59,5.09,1286
4865,0.31,Premium,H,VVS2,60.6,60,4.34,625
4866,1.2,Very Good,J,VS2,63.1,56,6.77,4232
4867,1.03,Very Good,H,VS2,59.9,59,6.5,5620
4868,0.41,Premium,F,VS2,61.1,56,4.84,1107
4869,2.02,Very Good,I,VS2,63.2,53,8.09,16179
4870,0.33,Very Good,D,SI1,63.1,55,4.4,728
4871,1.05,Very Good,H,SI1,,56,6.51,5027
4872,1.06,Very Good,I,SI1,60.2,59,6.62,4507
4873,1.16,Ideal,D,VS1,61.2,58,6.73,10241
4874,0.33,Premium,G,VS1,61.6,58,4.44,854
4875,1.01,Ideal,G,SI1,61.2,57,6.44,5387
4876,0.32,Ideal,G,VVS1,61.1,57,4.41,842
4877,0.54,Ideal,F,VVS1,60.5,55,5.31,2356
4878,0.32,Premium,E,VVS2,61.1,58,4.45,1080
4879,0.7,Good,E,SI2,57.8,61,5.88,2310
4880,1.01,Good,G,SI1,63.7,60,6.32,5113
4881,0.72,Ideal,H,VS2,62.8,57,5.74,2376
4882,1.01,Very Good,D,VVS2,62.5,59,6.34,10453
4883,0.96,Fair,H,I1,69.2,56,5.97,1739
4884,1,Very Good,F,VS2,63.8,56.9,6.29,6841
4885,2.27,Good,J,VS1,59.3,61,8.47,17051
4886,0.7,Premium,D,SI2,62.1,60,5.73,2319
4887,0.3,Ideal,E,VVS2,62.1,57,4.27,766
4888,1.2,Good,G,SI2,62.1,60,6.72,5310
4889,0.5,Very Good,G,VVS2,63.4,57,5.1,1806
4890,0.24,Very Good,D,VVS2,62.9,59,3.95,492
4891,0.36,Very Good,E,SI1,62.4,55,4.52,631
4892,1.73,Very Good,I,SI1,60.9,59,7.71,11554
4893,0.51,Ideal,G,VS1,62.2,55,5.14,1781
4894,0.7,Good,F,VS1,63.7,55,5.56,2724
4895,0.29,Ideal,G,VS1,62.2,54,4.23,507
4896,1.2,Ideal,H,VS2,61.2,59,6.84,7072
4897,1.2,Ideal,J,VS2,62.2,54,6.84,4106
4898,0.95,Very Good,I,SI1,61,61,6.29,3544
4899,0.84,Fair,I,VS2,65.1,57,5.91,2359
4900,0.91,Good,G,VS1,64.1,60,6.11,4744
4901,2.3,Ideal,G,SI2,61.6,57,8.47,15433
4902,1.1,Premium,I,SI1,61.2,61,6.66,4725
4903,1.51,Good,H,SI2,62.8,60,7.22,7929
4904,0.77,Premium,G,SI1,60.7,58,5.95,2563
4905,0.43,Ideal,E,VS2,62.1,56,4.87,1048
4906,1,Ideal,G,VS1,62.5,54,6.41,7223
4907,1.26,Ideal,I,SI1,62.6,57,6.89,6597
4908,0.7,Premium,D,SI2,60.4,60,5.79,2596
4909,0.32,Premium,H,VS1,61.7,58,4.41,720
4910,0.3,Premium,E,VS1,61.4,59,4.32,814
4911,0.32,Ideal,G,SI1,61.4,55,4.4,461
4912,0.85,Very Good,E,VS2,60.2,60,6.09,3871
4913,1.37,Premium,G,SI2,59.6,60,7.24,6495
4914,1.12,Ideal,G,SI2,61.3,55,6.74,4990
4915,0.3,Ideal,F,IF,62,56,4.3,947
4916,0.41,Ideal,G,VVS2,61.3,56,4.77,1076
4917,0.33,Premium,G,VS1,61.6,57,4.51,797
4918,1.01,Good,E,VS2,63.9,59,6.34,6968
4919,0.36,Ideal,E,VVS2,61,55,4.6,1131
4920,1.07,Premium,G,VS2,59.8,58,6.67,5177
4921,0.41,Premium,G,VS2,,59,4.85,990
4922,0.59,Ideal,D,SI1,61.4,55,5.41,1783
4923,1.01,Ideal,E,SI2,61.1,57,6.52,4751
4924,0.42,Ideal,E,SI1,62.1,55,4.79,743
4925,0.99,Fair,J,SI1,58,67,6.57,2949
4926,0.53,Ideal,F,VVS2,61,57,5.23,2269
4927,1.7,Ideal,J,VS2,62.2,56,7.64,9276
4928,0.75,Premium,E,SI1,62.8,56,5.78,2698
4929,1.29,Very Good,I,SI1,63.6,57,6.88,5771
4930,0.9,Ideal,D,SI1,62.1,57,6.18,4523
4931,0.3,Premium,F,VVS2,61.1,59,4.29,737
4932,0.38,Ideal,G,VVS1,61.7,55,4.67,993
4933,0.34,Ideal,F,VS1,62.2,56,4.47,956
4934,1.01,Ideal,G,SI1,62.2,55,6.44,5166
4935,1.02,Premium,G,SI1,61.1,58,6.52,5255
4936,0.7,Fair,G,VS1,57.1,62,5.89,2553
4937,0.5,Premium,F,VVS2,62.3,58,5.06,2052
4938,0.38,Ideal,F,VVS1,,53,4.63,1096
4939,0.5,Ideal,G,VS1,62,55,5.05,1624
4940,0.57,Ideal,E,VVS1,61.8,56,5.33,2739
4941,0.31,Ideal,I,VS1,61.7,55,4.36,424
4942,1.03,Premium,D,SI2,60.6,60,6.52,5076
4943,0.9,Very Good,G,VS2,61.3,59,6.15,4269
4944,0.51,Ideal,D,VS2,62.4,55,5.14,1882
4945,0.54,Ideal,H,VVS2,61.6,56,5.24,1639
4946,1.59,Good,F,SI2,63.6,57,7.43,9100
4947,1.6,Ideal,I,SI1,62,55,7.53,9376
4948,0.64,Ideal,H,SI1,61.8,55,5.56,1880
4949,0.51,Ideal,E,VS2,62.5,55,5.13,1781
4950,0.75,Good,F,VS1,64.4,59,5.67,2953
4951,0.3,Ideal,F,VVS1,61.7,57,4.28,1041
4952,1.02,Very Good,I,SI2,62.6,56,6.41,4084
4953,1.5,Ideal,I,SI1,59.4,60,7.54,8555
4954,0.82,Ideal,I,VS1,61.6,56,6.05,3071
4955,0.81,Ideal,G,SI2,62.2,57,5.96,2894
4956,0.7,Very Good,I,SI2,61.8,58,5.65,1977
4957,1.16,Very Good,H,SI2,59.6,59,6.85,4455
4958,0.41,Very Good,D,SI2,62.3,61,4.72,638
4959,1.82,Premium,H,SI1,62,59,7.81,14949
4960,0.33,Ideal,I,IF,61.4,56,4.45,891
4961,0.3,Very Good,D,SI1,61,60,4.3,552
4962,0.72,Fair,G,VS1,66.4,57,5.6,2396
4963,0.41,Premium,G,VS1,61.9,60,4.76,961
4964,1.03,Very Good,F,VS1,62.8,54.1,6.39,8089
4965,0.34,Ideal,D,SI1,62,56,4.47,626
4966,0.9,Very Good,D,SI1,61.1,63,6.17,4068
4967,0.33,Ideal,E,VVS1,60.2,57,4.5,1052
4968,0.33,Ideal,I,IF,62.2,56,4.42,694
4969,0.35,Ideal,F,VS2,61.4,55,4.6,906
4970,1.18,Premium,G,VVS2,61,58,6.79,7881
4971,1,Ideal,E,VS2,62.1,56,6.42,6720
4972,0.61,Ideal,E,SI2,62,54,5.46,1368
4973,0.51,Ideal,E,SI1,61.5,54,5.15,1356
4974,0.71,Very Good,E,SI2,61.9,63,5.74,2375
4975,1.22,Ideal,G,VS2,60.1,57,6.96,9954
